feature,mean_abs_shap,rank
cat__locality_Wari,0.0,238
cat__locality_Siddeshwari,0.0,239
cat__locality_Tongi,0.0,240
cat__locality_Uttara East,0.0,241
cat__locality_Sreepur,0.0,242
cat__locality_Adabor,0.0,243
cat__locality_Airport,0.0,244
cat__city_Rangpur,0.0,245
cat__city_Rajshahi,0.0,246
cat__city_Narsingdi,0.0,247
cat__city_Manikganj,0.0,248
cat__city_Habiganj,0.0,249
cat__city_Kishoreganj,0.0,250
cat__division_Mymensingh,0.0,251
cat__division_Rangpur,0.0,252
cat__locality_Zafrabad,0.0,253
cat__locality_Zindabazar,0.0,254
cat__division_Khulna,0.0,255
cat__division_Barisal,0.0,256
cat__locality_West Khulshi,0.0,257
cat__locality_Uttar Lalkhan,0.0,258
cat__locality_Uttarkhan,0.0,259
cat__zone_Golapbag,0.0,260
cat__city_Bogura,0.0,261
cat__city_Barguna,0.0,262
cat__city_Bandarban,0.0,263
cat__zone_Kurmitola,0.0,264
cat__locality_11 No. South Kattali Ward,0.0,265
cat__city_Sherpur,0.0,266
cat__zone_Mugdapara,0.0,267
cat__city_Chandpur,0.0,268
cat__zone_Shabujbag,0.0,269
cat__city_Chittagong,0.0,270
cat__city_Cumilla,0.0,271
cat__zone_Sub-district of Bandarban,0.0,272
cat__zone_Sub-district of Bogura,0.0,273
cat__zone_Sub-district of Barguna,0.0,274
cat__zone_Sub-district of Chandpur,0.0,275
cat__zone_Sub-district of Cumilla,0.0,276
