,area,building_type,building_nature,num_bath_rooms,num_bed_rooms,price,city,locality,relaxation_amenity_count,security_amenity_count,maintenance_or_cleaning_amenity_count,social_amenity_count,expendable_amenity_count,service_staff_amenity_count,unclassify_amenity_count,division,zone
21084,1160.0,Apartment,Residential,3.0,3.0,7500560.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21085,1100.0,Apartment,Residential,2.0,2.0,7150000.0,Dhaka,Badda,0,0,0,0,0,0,0,Dhaka,Badda
21086,750.0,Apartment,Residential,2.0,2.0,3750000.0,Dhaka,Badda,0,0,0,0,0,0,0,Dhaka,Badda
21087,1000.0,Apartment,Residential,2.0,3.0,3200000.0,Dhaka,Mirpur,0,0,0,0,0,0,0,Dhaka,Mirpur
21088,1760.0,Apartment,Residential,3.0,3.0,22528000.0,Dhaka,Uttara West,0,0,0,0,0,0,0,Dhaka,Uttara
21090,1300.0,Apartment,Residential,3.0,3.0,11050000.0,Dhaka,Uttara West,0,0,0,0,0,0,0,Dhaka,Uttara
21097,3208.0,Apartment,Residential,4.0,4.0,39997344.0,Dhaka,Uttara West,0,0,0,0,0,0,0,Dhaka,Uttara
21099,700.0,Apartment,Residential,2.0,2.0,3150000.0,Dhaka,Adabor,0,0,0,0,0,0,0,Dhaka,Mohammadpur
21101,900.0,Apartment,Residential,2.0,2.0,3999600.0,Dhaka,Mirpur,0,0,0,0,0,0,0,Dhaka,Mirpur
21119,650.0,Apartment,Residential,1.0,2.0,6500000.0,Dhaka,Kalabagan,0,0,0,0,0,0,0,Dhaka,Hatirpool
21120,1950.0,Apartment,Residential,4.0,3.0,9750000.0,Dhaka,Uttara West,0,0,0,0,0,0,0,Dhaka,Uttara
21123,1575.0,Apartment,Residential,4.0,4.0,10001250.0,Dhaka,Uttara West,0,0,0,0,0,0,0,Dhaka,Uttara
21124,1850.0,Apartment,Residential,3.0,4.0,12025000.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21125,1350.0,Apartment,Residential,3.0,3.0,5999400.0,Dhaka,Adabor,0,0,0,0,0,0,0,Dhaka,Mohammadpur
21126,1735.0,Apartment,Residential,4.0,3.0,13880000.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21127,830.0,Apartment,Residential,2.0,2.0,4500260.0,Dhaka,Adabor,0,0,0,0,0,0,0,Dhaka,Mohammadpur
21128,1275.0,Apartment,Residential,3.0,3.0,6375000.0,Dhaka,Adabor,0,0,0,0,0,0,0,Dhaka,Mohammadpur
21129,1470.0,Apartment,Residential,3.0,3.0,6799999.500000001,Dhaka,Adabor,0,0,0,0,0,0,0,Dhaka,Mohammadpur
21130,1150.0,Apartment,Residential,3.0,3.0,4025000.0,Dhaka,Mirpur,0,0,0,0,0,0,0,Dhaka,Mirpur
21131,1450.0,Apartment,Residential,2.0,3.0,7105000.0,Dhaka,Uttara West,0,0,0,0,0,0,0,Dhaka,Uttara
21132,1650.0,Apartment,Residential,4.0,4.0,20130000.0,Dhaka,Banani,0,0,0,0,0,0,0,Dhaka,Banani
21133,1540.0,Apartment,Residential,2.0,3.0,8470000.0,Dhaka,Uttara West,0,0,0,0,0,0,0,Dhaka,Uttara
21134,1587.0,Apartment,Residential,4.0,3.0,11999307.0,Dhaka,Uttara West,0,0,0,0,0,0,0,Dhaka,Uttara
21135,2033.0,Apartment,Residential,3.0,3.0,12198000.0,Dhaka,Uttara West,0,0,0,0,0,0,0,Dhaka,Uttara
21138,1900.0,Apartment,Residential,3.0,4.0,17100000.0,Dhaka,Uttara West,0,0,0,0,0,0,0,Dhaka,Uttara
21142,2500.0,Apartment,Residential,4.0,3.0,45000000.0,Dhaka,Uttara West,0,0,0,0,0,0,0,Dhaka,Uttara
21143,1430.0,Apartment,Residential,4.0,3.0,9295000.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21144,2400.0,Apartment,Residential,3.0,3.0,12000000.0,Dhaka,Uttara West,0,0,0,0,0,0,0,Dhaka,Uttara
21145,2394.0,Apartment,Residential,3.0,3.0,17236800.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21146,1600.0,Apartment,Residential,4.0,3.0,5600000.0,Dhaka,Mohammadpur ,0,0,0,0,0,0,0,Dhaka,Mohammadpur
21147,2750.0,Apartment,Residential,5.0,4.0,20000750.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21148,1125.0,Apartment,Residential,3.0,3.0,9562500.0,Dhaka,Moghbazar,0,0,0,0,0,0,0,Dhaka,Ramna
21149,1650.0,Apartment,Residential,4.0,3.0,9735000.0,Dhaka,Uttara East,0,0,0,0,0,0,0,Dhaka,Uttara
21150,1410.0,Apartment,Residential,3.0,3.0,9024000.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21151,1050.0,Apartment,Residential,3.0,3.0,4500300.0,Dhaka,Uttara East,0,0,0,0,0,0,0,Dhaka,Uttara
21154,4500.0,Apartment,Residential,5.0,5.0,42750000.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21157,1705.0,Apartment,Residential,3.0,3.0,11082500.0,Dhaka,Mirpur,0,0,0,0,0,0,0,Dhaka,Mirpur
21174,950.0,Apartment,Residential,2.0,2.0,4085000.0,Dhaka,Uttara West,0,0,0,0,0,0,0,Dhaka,Uttara
21177,1550.0,Apartment,Residential,3.0,3.0,13640000.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21178,1550.0,Apartment,Residential,3.0,4.0,9300000.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21179,1500.0,Apartment,Residential,3.0,3.0,10500000.0,Dhaka,Uttara West,0,0,0,0,0,0,0,Dhaka,Uttara
21180,1580.0,Apartment,Residential,3.0,3.0,14457000.0,Dhaka,Uttara West,0,0,0,0,0,0,0,Dhaka,Uttara
21181,1567.0,Apartment,Residential,3.0,3.0,12065900.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21182,1550.0,Apartment,Residential,3.0,4.0,10850000.0,Dhaka,Uttara West,0,0,0,0,0,0,0,Dhaka,Uttara
21183,1296.0,Apartment,Residential,3.0,3.0,6350400.0,Dhaka,Mirpur,0,0,0,0,0,0,0,Dhaka,Mirpur
21184,1500.0,Apartment,Residential,3.0,3.0,11250000.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21185,1610.0,Apartment,Residential,4.0,3.0,9016000.0,Dhaka,Uttara West,0,0,0,0,0,0,0,Dhaka,Uttara
21186,1250.0,Apartment,Residential,3.0,3.0,8000000.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21188,900.0,Apartment,Residential,2.0,2.0,5040000.0,Dhaka,Mirpur,0,0,0,0,0,0,0,Dhaka,Mirpur
21189,1300.0,Apartment,Residential,4.0,4.0,5200000.0,Dhaka,Mirpur,0,0,0,0,0,0,0,Dhaka,Mirpur
21190,1500.0,Apartment,Residential,3.0,3.0,12000000.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21191,1315.0,Apartment,Residential,3.0,3.0,7890000.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21192,1215.0,Apartment,Residential,1.0,3.0,5467500.0,Dhaka,Daskhinkhan,0,0,0,0,0,0,0,Dhaka,Dakshin Khan
21193,1470.0,Apartment,Residential,2.0,3.0,8999340.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21194,1480.0,Apartment,Residential,4.0,4.0,6660000.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21195,1000.0,Apartment,Residential,2.0,3.0,3000000.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
21223,1050.0,Apartment,Residential,2.0,3.0,2940000.0,Dhaka,Demra,0,0,0,0,0,0,0,Dhaka,Demra
21225,1500.0,Apartment,Residential,3.0,2.0,12000000.0,Dhaka,Bashundhara RA,0,0,0,0,0,0,0,Dhaka,Bashundhara R/A
